Company,Content,Operating Status,Description,Funding Status,Website,Last Funding Type,Company Type,Categories
Psychology Today,FOUND,active,"Psychology Today is devoted exclusively to everybody's favorite subject: ourselves. Founded in 1967, Psychology Today covers all aspects of human behavior and mental health, from the workings of the mind to the bonds between people and the larger cultural forces that drive our most intimate decisions.
Here at PsychologyToday.com we have...
Read More",N/A,www.psychologytoday.com,N/A,N/A,"medical, news, psychology"
Psychster,FOUND,active,"CEO of Psychster Inc., psychology of social media.",N/A,psychster.com,N/A,N/A,"consulting, psychology, social media"
PsycView,FOUND,active,"Founded in 2010, PsycView focuses on developing telemedicine applications for physicians and therapists. These applications are used to bridge the gap between physicians in cities who are lacking patients, and patients who live in underserved areas who would otherwise go untreated.
The initial research for the software began by surveying...
Read More",N/A,www.psycview.net,N/A,N/A,"b2b, health care, psychology, public relations, software, telecommunications"
PSYLIN NEUROSCIENCES,FOUND,active,"Psylin Neurosciences, Inc., a biotech company, engages in the discovery and development of peptide therapeutics for the treatment of psychiatric disorders. The company was incorporated in 2007 and is based in San Diego, California. Psylin Neurosciences, Inc. is a joint venture between Amylin Pharmaceuticals, Inc. and PsychoGenics, Inc.",N/A,www.psylin.com,venture - series unknown,N/A,"biotechnology, neuroscience, therapeutics"
psyML,FOUND,active,"Through the scientific disciplines of psychology, neuroscience, and data science, psyML builds meaningful and scalable knowledge and applications for creating positive-change. psyML works with both large and small operations to use these methods to better engage and understand their populations.",N/A,psyml.co/,N/A,for profit,"artificial intelligence, machine learning, natural language processing, predictive analytics, psychology"
PsyProblemss.net,FOUND,closed,"http://PsyProblems.net - a simple and convenient service online psychological counselling. Nowadays, the Internet can do almost anything - to order food, take a virtual love, make friends and old acquaintances. In Japan, there was even a special term for people who spend all their time in the network - a hikikomori. These people have...
Read More",N/A,psyproblems.net,N/A,for profit,"consulting, internet, psychology, video, video chat, video conferencing"
Pulmomed Medizinisch-Technische GerÃ¤te,NOT FOUND,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retina Implant,FOUND,active,"Retina Implant AG is the leading developer of subretinal implants for partially sighted and blind patients. After extensive research with German university hospitals and institutes which began with a large grant from the German Federal Ministry of Research and Education in 1996, Retina Implant AG was founded by Dr. Eberhart Zrenner and his...
Read More",N/A,www.retina-implant.de,venture - series unknown,for profit,"biotechnology, health care, medical device"
Retresco GmbH,FOUND,active,"Retresco has expertise in the automation of content-driven business models. On the basis of semantic processes and artificial intelligence, Retresco automates the effective utilisation of its clients‘ content and data. Retresco’s highly innovative technologies are used by Axel Springer, FAZ.net, United Internet, Simpleshow and the Federal Ministry...
Read More",early stage venture,www.retresco.de/,series b,for profit,"artificial intelligence, industrial automation, information technology, natural language processing, news"
Retrotope,FOUND,active,"RETROTOPE is a privately held company focused on the development of ways of controlling metabolic processes associated with the oxidative stress conditions. Areas of interest include age-related diseases. RETROTOPE uses isotope effect to slow down damaging pathways. The company has several discovery and development programmes that involve major...
Read More",N/A,www.retrotope.com/,venture - series unknown,for profit,"biotechnology, health care, medical"
ReviewClan,FOUND,closed,"ReviewClan.com is a site that provide information about health, sports, web, love, pets, gadgets, investment, comics etc.",N/A,reviewclan.com,N/A,N/A,"comics, consumer electronics, health care, internet, psychology, sports"
Rex Bionics,FOUND,active,"Rex Bionics Plc is engaged in the research and development, manufacture, and commercialization of robotic devices designed to provide physiotherapy to and improve the physical and psychological well-being of people with mobility impairment as a result of spinal cord injury or other neurological trauma, such as stroke or traumatic brain injury, or...
Read More",m&a,www.rexbionics.com,series a,for profit,"health care, medical, robotics"
Rexahn Pharmaceuticals,FOUND,active,"Rexahn Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, engages in the discovery, development, and commercialization of treatments for cancer, central nervous system (CNS) disorders, sexual dysfunction, and other unmet medical needs in the United States. Its drug candidates in Phase II clinical trials include Archexin, the lead...
Read More",ipo,www.rexahn.com,venture - series unknown,N/A,"biotechnology, medical device, pharmaceutical"
Rexi Media,FOUND,active,N/A,N/A,www.reximedia.com/,N/A,N/A,health care
Rhaeos,FOUND,active,"Rhaeos, the world's first wearable shunt monitor, aims to improve the quality care for patients with hydrocephalus through a novel, thermal biosensor. Developed within Northwestern University with collaboration between Dr. John Rogers, McCormick School of Engineering, Feinberg School of Medicine and Kellogg School of Management, Rhaeos...
Read More",N/A,www.rhaeos.com,N/A,for profit,"health diagnostics, medical device, neuroscience, sensor, wearables"
Rhode Island Hospital,FOUND,active,"Rhode Island Hospital operates as a hospital in Rhode Island. It offers cancer care, cardiac care, clinical coordinating, colorectal care, dental care, diabetes and endocrinology, diagnostic imaging (radiology), education, emergency medicine, medical simulation, mental health, neurosciences, nursing, oncology, orthopedics, pain management,...
Read More",N/A,www.rhodeislandhospital.org,grant,N/A,"clinical trials, hospitality, non profit"
Richardson Partnership for Care,FOUND,active,"The Richardson Partnership for Care (RPC) was established in 1989 in Northampton by Brian and Jackie Richardson, who identified the need for specialised residential care homes for people with an acquired brain injury and/or learning difficulties. Richardson Partnership for Care is now run by the second generation of the family, Laura...
Read More",N/A,www.careresidential.co.uk/,N/A,for profit,"health care, wellness"
Right Brain Electronics,FOUND,active,"Right Brain Electronics is an electrical engineering and design consulting firm focused on consumer electronics and toy industries. Its portfolio of products includes Kinsa Smart Ear Thermometer, Ford eBike, Incase Headphones, iPhone Dock, Digital Light Studio, and more.
Right Brain Electronics is based in Oakland, California.",N/A,rightbrainelectronics.com/,N/A,for profit,manufacturing
Right Brain Interface,FOUND,active,"Bhaalu is an Internet-based Digital Video Recorder Set-Top Box that gives you access to all the TV content you are entitled to view.
With bhaalu, you can watch what you like, whenever you want (timeshift any channel back 60 days), and from wherever you are located
through a laptop, tablet or mobile device, or by bringing your bhaalu box along...
Read More",N/A,www.rightbrain.sg,N/A,N/A,"digital media, hardware, software, video, video on demand, video streaming"
RightEye,FOUND,active,"RightEye is a health technology company using eye tracking to revolutionize patient care. RightEye leverages proven scientific research and a patented cloud-based software platform to deliver any eye movement test or therapy. RightEye’s eye tracking platform allows for early and accurate detection of issues such as concussion, traumatic brain...
Read More",N/A,www.righteye.com/,venture - series unknown,for profit,"health care, health diagnostics, wellness"
RightEye,FOUND,active,"RightEye is a health technology company using eye tracking to revolutionize patient care. RightEye leverages proven scientific research and a patented cloud-based software platform to deliver any eye movement test or therapy. RightEye’s eye tracking platform allows for early and accurate detection of issues such as concussion, traumatic brain...
Read More",N/A,www.righteye.com/,venture - series unknown,for profit,"health care, health diagnostics, wellness"
Rinat Neuroscience,FOUND,active,"Rinat, which means ""happiness"" in Hebrew, was formed in 2001 when Genentech, a leader in the development of therapeutic antibodies, narrowed its focus and spun out its key neuroscience assets under a broad license to Rinat. Genentech invested significant R&D resources in support of these assets over 15 years, and Rinat is now building...
Read More",m&a,www.rinatneuro.com/,series b,for profit,"biotechnology, neuroscience, therapeutics"
Rio Grande Neurosciences,FOUND,active,"Rio Grande Neurosciences, Inc. manufactures pulsed electromagnetic field therapy devices for the treatment of neuroinflammation. The company develops traumatic brain injury therapeutics; current disposable clinical treatment units; and devices for concussion clinical trials. Rio Grande Neurosciences, Inc. was founded in 2011 and is based in San...
Read More",m&a,riograndeneurosciences.com,venture - series unknown,for profit,"electronics, manufacturing, neuroscience"
Rise and Shine Care Ltd.,FOUND,active,"Rise and Shine Care Ltd. provides domiciliary home care, support, and individual care services. Rise and Shine Care serves elderly and people suffering with dementia, mental health problems and physical disabilities.",m&a,www.riseandshinecare.co.uk/,N/A,N/A,"health care, home health care, personal health"
River Ridge,FOUND,active,N/A,private equity,www.riverridgemn.com,private equity,N/A,psychology
Riveredge Hospital,FOUND,active,N/A,N/A,riveredgehospital.com,N/A,N/A,health care
Rolling Hills Hospital,FOUND,active,N/A,N/A,rollinghillshospital.com,N/A,N/A,health care
"Romance du Jour, Inc.",FOUND,active,"Romance du Jour, Inc. operates as a privately held sleepwear company. Romance du Jour, known for its satin sleep wear, makes a variety of brand name and private label nightgowns, camisoles and robes.",m&a,N/A,N/A,N/A,consumer
Rotolab,FOUND,active,"In the age of digital dependency, people often forget they are simply bodies in space. We help them realize they are.
Spatial Design: Our philosophy begins with understanding our bodies and how they move through space. We design from the inside out focusing on space, scale and relationship.
Spatial Science: We come from a whole-brain approach...
Read More",N/A,www.rotolab.la,N/A,for profit,"gaming, neuroscience, virtual reality"
Rotolab,FOUND,active,"In the age of digital dependency, people often forget they are simply bodies in space. We help them realize they are.
Spatial Design: Our philosophy begins with understanding our bodies and how they move through space. We design from the inside out focusing on space, scale and relationship.
Spatial Science: We come from a whole-brain approach...
Read More",N/A,www.rotolab.la,N/A,for profit,"gaming, neuroscience, virtual reality"
Routes Healthcare,FOUND,active,"Routes Healthcare is a CQC registered provider of high acuity domiciliary care located in the North of England. Established in 2005, Routes has a proven track record of providing complex domiciliary care to local CCGs and private clients. Routes is renowned for its ability to develop bespoke care packages to individual clients in short time frames....
Read More",private equity,www.routeshealthcare.com/,private equity,for profit,"health care, hospital"
"Royal Journeys, LLC",FOUND,active,N/A,N/A,journeysdda.com,N/A,N/A,health care
Rucker Design Group,FOUND,active,N/A,N/A,www.halrucker.com,N/A,N/A,health care
Rural Community Link Projects Cic,FOUND,active,Rural Community Link Project CIC (RCLP CIC) is an independent non profit making Social Enterprise (Community Interest Company). RCLP CIC is a Mindful Employer and has ILCM level 3 Quality Mark We promote good mental health and well-being in Cornwall & the Isles of Scilly by offering a wide range of support services,N/A,rclproject.com/,N/A,for profit,non profit
Russian Quantum Center,FOUND,active,"On December 14, 2010, the Russian Innovation Hub Skolkovo announced the selection of its first 16 resident projects. Certificate No. 13 was awarded to the project ""International Center for Quantum Optics and Quantum Technologies"" - the Russian Quantum Center (RQC). This day can be considered the official birthday of the RQC.
The...
Read More",N/A,www.rqc.ru/,grant,for profit,"education, innovation management, navigation"
Rutland Mental Health Services,FOUND,active,N/A,N/A,rmhsccn.org/,N/A,N/A,health care
Rxforbrain anti depressant online pharmacy,FOUND,closed,"Rxforbrain.com precise online drugstore this is specialised in offering over the counter medicines that consists of anti depressants, sleep apnea treatment drugs, pain killers and slumbering drugs. it's far engaged in on line pharmacy enterprise for greater than 7 years from now. This online drugstore has an extraordinary manner of operating...
Read More",N/A,www.rxforbrain.com/,N/A,for profit,"e-commerce, health care"
RYKLIN SOFTWARE,FOUND,active,Ryklin Software Inc. is engaged in developing and supporting computer equipment used for clinical research studies.,N/A,www.ryklinsoftware.com,N/A,for profit,neuroscience
SabClinic,FOUND,active,"Dr Vikas Kathuria is a dynamic neurosurgeon specializing in brain and spine surgeries. Dr Vikas Kathuria is extensively trained in surgeries of brain like brain tumour, brain clot, trauma surgeries for EDH and SDH. Apart from brain surgeries Dr Kathuria is also experienced in performing spine surgeries.",N/A,sabclinic.com,N/A,for profit,N/A
Saccade Diagnostics,FOUND,active,"Saccade Diagnostics brings to market for the first time clinically-validated objective tests to help clinicians with diagnostic evaluation and management of psychiatric disorders in patients with mental health complaints.
A spin-out from the University of Aberdeen, Saccade has devised a rapid eye-movement test called SaccScan that can help medical...
Read More",N/A,www.saccade-diagnostics.com,grant,for profit,"health care, medical, psychology"
Sachs Center,FOUND,active,"The Sachs Center is a full service boutique psychotherapy practice on Manhattan’s Upper West Side. Our doctors are specialists in the testing and treatment of ADD/ADHD and Aspergers in children, teens and adults.
We go beyond labels, taking a holistic, person-centered approach to treatment. We don’t see you or your loved one as a diagnosis...
Read More",N/A,sachscenter.com,N/A,for profit,health care
sacpros,FOUND,active,sacpros.org is the leading mental health resource directory for the Greater Sacramento Region devoted to breaking down the barriers which prevent access to mental health services by providing easy access to available services in the community.,N/A,www.sacpros.org,N/A,N/A,"communities, health care"
Sacred Sleep,FOUND,active,N/A,N/A,www.sacredsleep.com,N/A,N/A,"e-commerce, electronics, fitness, health care, lifestyle"
Safeclic,FOUND,active,"Safeclic The App. Help when you need it!
Safeclic is a Self-sustaining Free Multi App Featuring the following
Check in Button- sends 5 Sms's to programmed numbers and emails of the Sender and their exact GPS location indicating they are checking in.
Panic Button- Sends 5 Sms's to program numbers and emails that the sender is in...
Read More",N/A,www.safeclic.com,N/A,N/A,"apps, education, law enforcement, mhealth, mobile, psychology, ticketing"
Saffron Technology,FOUND,active,"Saffron is the first artificially intelligent, cognitive computer that learns, reasons and anticipates like you and for you. Saffron fuses the power of computing with brain-like intelligence to help organizations quickly focus on the knowledge that matters most, anticipate what will happen next, and optimize decisions based on this intelligence....
Read More",m&a,www.saffrontech.com,series b,for profit,"artificial intelligence, machine learning, risk management"
Saint John of God Community Services,FOUND,active,"Saint John of God Hospitaller Ministries is an international organisation providing a range of health and social care services for children and adults. They work in partnership with government departments, health and educational authorities and other statutory and voluntary agencies.
In Ireland they provide services in the areas of intellectual...
Read More",N/A,www.sjog.ie/,N/A,N/A,"association, health care"
SalesBrain,FOUND,active,"SalesBrain is the first neuromarketing agency with a scientific persuasion model that helps companies capture, convince and close more customers. SalesBrain increases marketing performance by targeting the decision making part of your customer’s brain with a unique, award-winning, science-based NeuroMap. This proven, easy to follow 4-step...
Read More",N/A,www.salesbrain.com/,N/A,for profit,advertising
Salk Institute for Biological Studies,FOUND,active,"Salk Institute for Biological Studies conducts research on molecular biology and genetics, neurosciences, and plant biology. The research is conducted under the guidance of 59 faculty investigators and more than 850 scientific staff, including visiting scientists, postdoctoral fellows, and graduate students. The institute’s operates to identify...
Read More",N/A,www.salk.edu/,grant,for profit,"education, genetics, health care, non profit"
Salon Hoitokoti,FOUND,active,Salon Hoitokoti is operates nursing homes which offer intensified mental health rehabilitation and services for the mentally disabled.,m&a,www.salonhoitokoti.net/,N/A,N/A,"health care, nursing and residential care, rehabilitation"
Salubri,FOUND,active,Salubri is an online health platform that connects patients with health practitioners specializing in disease prevention and management.,N/A,salubri.com,N/A,N/A,"education, health care, information technology, psychology, telecommunications, therapeutics"
Samuels Sleep,FOUND,active,"Samuels Sleep Shop is a specialty mattress and sleep accessory retail store. The goal is to solve the consumers problem of poor sleep via the analysis of sleeping conditions and environment and sale of mattresses, pillows, and bedding accessories.
Samuels Sleep Shop will operate both physical locations and online, at www.samuelssleepshop.com.",N/A,www.samuelssleepshop.com.,equity crowdfunding,N/A,"advanced materials, retail"
San Antonio Area Therapists,FOUND,closed,"San Antonio Area Therapists is part of the Therapist Referral and Networking Association designed to help you find the right therapist, psychiatrist, counseling group, or residential treatment center to fit your requirements.
We offer detailed information exclusively about services available locally in the San Antonio area. We also include...
Read More",N/A,areatherapists.com/sanantonio/,N/A,for profit,"health care, psychology, therapeutics"
Sante Basque Developpement,FOUND,active,Sante Basque Developpement is owns and operates mental health hospitals.,N/A,N/A,undisclosed,N/A,"health care, pharmaceutical"
Sapiens Steering Brain Stimulation,FOUND,active,"Sapiens Steering Brain Stimulation GmbH is an emerging medical device company whose mission is to deliver superior solutions for deep brain stimulation (DBS) therapy. Sapiens' ambition is to provide a unique, high-resolution, and MRI- compatible DBS system that will improve patient comfort and therapeutic outcome, initially for patients with...
Read More",m&a,www.sapiensneuro.com,series c,for profit,"health care, medical, simulation, therapeutics"
Saplo,FOUND,active,"Saplo uses innovative semantic technologies to analyze text in a way that mimic how humans read and evaluate text. Saplo help organisations extract and refine valuable information hidden in large text collections.
Saplo have five different services; Entity Tagging, Topic Tags, Related & Similar Articles, Contextual recognition and Sentiment...
Read More",m&a,saplo.com,seed,N/A,"analytics, big data, journalism, news, psychology, reputation, semantic search, text analytics"
Sapphirehomecollections,FOUND,active,"Sapphirehomecollections is and online pillow store based in united states.We sell high quality and affordable pillows online.The pillows we sell are reliable and trustworthy.Our pillows come in different type and sizes.We have body pillows,neck pillows and sleep pillows.We have different size of pillows such as king size queen size and other...
Read More",N/A,sapphirehomecollections.com,N/A,for profit,"home decor, home improvement, home renovation, home services"
Satori Pharmaceuticals,FOUND,closed,"Satori Pharmaceuticals is a neuroscience company focused on the discovery and development of disease-modifying therapies for Alzheimer's disease, Parkinson's disease and other neurodegenerative disorders.",N/A,www.satoripharma.com,venture - series unknown,for profit,"health care, neuroscience, pharmaceutical"
Savonix,FOUND,active,"Savonix provides a valid and reliable measurement of cognitive function mapped to real world outcomes in domains like cognitive flexibility and on road performance in aging populations. Their customers include doctors, researchers, Fortune 50 insurance, and governments. Their platform provides users with easy to use and accessible tests of their...
Read More",early stage venture,savonix.com/,series a,for profit,"apps, artificial intelligence, health care, information services, information technology, medical, mobile, skill assessment"
Scalable Systems Research Labs,FOUND,active,"Scalable Systems Research Labs, Inc. ('SSRLabs') develops and sells a family of massively parallel coprocessors with standard APIs to solve the ""Big Data"" and numerically intensive problems. These coprocessors work with a variety of standards-based application programming interfaces (APIs). SSRLabs' family of coprocessors...
Read More",seed,www.ssrlabs.com,seed,N/A,"big data, fintech, security"
Schlaf-Fass Ch,FOUND,active,"The beautiful wine region of the Grisons. They look forward to welcoming you soon as a guest in one of Their SCHLAF-FÄSSER (converted wine barrels). This will be an exclusive, unforgettable and most fascinating experience. You will stay in one of the converted 8000 litre wine barrels in your chosen location. With a lot of attention to detail, these...
Read More",N/A,schlaf-fass.ch/,N/A,for profit,wine and spirits
"Science, Language & Arts International School",FOUND,active,"Science, Language & Arts International School is an independent Nursery to Grade 8 school in Brooklyn, focused on hands-on science, arts, and math and committed to providing children with a rich and rigorous multilingual education. Our project-based approach is informed by brain development research and promotes collaborative learning and...
Read More",N/A,slaschool.org,N/A,non-profit,education
ScienceDaily,FOUND,active,"ScienceDaily is an online and mobile platform that provides its users with information related to all areas of science. It provides its insights and news related areas such as health and medicine, mind and brain, space and time, matter and energy, computers and mathematics, plants and animals, earth and climate, and much more.
It also...
Read More",N/A,www.sciencedaily.com/,N/A,for profit,news
Scientific Learning Corporation,FOUND,active,"They develop, market and sell products and services that are based on brain research and are designed to increase human learning and performance. To date, their primary focus has been on the language and reading skills that are the foundation for learning. They have developed, have field tested and are selling software to help children learn how to...
Read More",ipo,www.scilearn.com,N/A,N/A,language learning
SCM Neuroscience,FOUND,active,"SCM Neuroscience is a startup that offers advises in various areas of neuroscience, with a special focus on neuromarketing. The company’s eye-tracking technology consists of a system that detects ocular movement and a program that organizes studied subject data and converts them into statistics.
Additionally, it offers other services such as...
Read More",N/A,www.scmneuroscience.com,N/A,N/A,"health diagnostics, market research, neuroscience"
Seaside Therapeutics,FOUND,active,"Seaside Therapeutics was founded to translate promising research discoveries into effective treatments for patients with autism, fragile X syndrome and other disorders of brain development. Our vision is to successfully develop breakthrough medications that will meaningfully improve the lives of individuals with these disorders.",N/A,www.seasidetherapeutics.com,venture - series unknown,N/A,"biotechnology, medical device, therapeutics"
Seasons in Malibu,FOUND,active,"At Seasons in Malibu, they agree with the leading scientists and doctors of the National Institute for Drug Addiction that addiction is a completely treatable chronic disease. They believe it is best addressed not just at the individual level of behavior but systemically from the cellular systems to the systems of neurobiology of the brain and the...
Read More",N/A,seasonsmalibu.com,N/A,N/A,health care
Seekly,FOUND,closed,"Seekly provides a face to face, speed date Online. Using various filters users will be matched up to ""date"" in order to see if they would like to get to know someone more in a timed online video speed date.",seed,seek.ly,seed,N/A,"internet, psychology, video"
Self Direct,FOUND,active,Established in 2003 with offices located in Baldwinsville and Utica to provide professional home care services and home medical equipment and supplies. We provide services under the NYS DOH Traumatic Brain Injury and Nursing Home Transition and Diversion waiver programs as well as working closely with insurance companies and private pay clients.,N/A,www.selfdirectinc.com/,N/A,for profit,medical
SensArs,FOUND,active,"There are almost 5 millions of amputees, and even more nerve-injured persons, only in the USA and Europe. Together with commonly present neuropathic pain, and lost limb function (nerve injuries), they have no perception or control of the force required to hold or pick up objects and cannot feel their shape or consistency (when using prostheses). A...
Read More",seed,www.sensars.com/,grant,for profit,"medical, medical device, neuroscience"
"Sense Diagnostics, LLC",FOUND,active,"Sense Diagnostics develops and distributes medical devices for its clients.
Sense Diagnostics develops Sense, a disposable device that monitors its users’ brain activity in ICU. It features multiple environment integration, earlier diagnosis, and real-time brain activity monitoring. It uses RF sensors to detect brain activity changes.
Sense...
Read More",seed,www.senseneuro.com,seed,for profit,"health diagnostics, medical, neuroscience"
"Sense Diagnostics, LLC",FOUND,active,"Sense Diagnostics develops and distributes medical devices for its clients.
Sense Diagnostics develops Sense, a disposable device that monitors its users’ brain activity in ICU. It features multiple environment integration, earlier diagnosis, and real-time brain activity monitoring. It uses RF sensors to detect brain activity changes.
Sense...
Read More",seed,www.senseneuro.com,seed,for profit,"health diagnostics, medical, neuroscience"
Sensegon,FOUND,active,"Sensegon offers a psycho-social advertisement based-solution, derived from multi-layered human interactions in social networks.
Our technology is a cloud-based intelligence engine
which accurately profiles a user's personality through real-time human interactions which occur within any given social platform.
Users' personality is...
Read More",early stage venture,www.sensegon.com,series a,N/A,"ad targeting, advertising, psychology, social media"
SenseLabs (formerly Neurotopia),FOUND,active,"SenseLabs measures and trains the performance of the brain— to help people assert impulse control, increase focus, manage stress, handle stress, improve recovery, and improve sleep.
Providing higher performance in all of life, the company is focused on the sports, education, professional development, and wellness markets.",N/A,senselabs.com/,venture - series unknown,for profit,"hardware, health care, software, sports"
SensoMotoric Instruments (SMI),FOUND,active,"SensoMotoric Instruments (SMI) is a world leader in dedicated computer vision applications. Working closely with our clients, we have more than 20 years experience in developing and marketing application-specific gaze & eye tracking systems and OEM solutions. More than 6,000 of our eye tracker systems in operation worldwide are testimony to our...
Read More",m&a,www.smivision.com,N/A,N/A,"computer vision, image recognition, psychology, software"
Sensory Innovation Solutions,FOUND,active,seeking a $350k seed round,seed,N/A,seed,for profit,"health care, medical, neuroscience"
Sentient Medical Systems,FOUND,active,"Sentient providers of intraoperative monitoring and neurodiagnostic services, supporting over 300 health care facilities and 800 surgeons with 24/7/365 coverage.
Sentient provides Intraoperative neurophysiological monitoring of brain and/or spinal cord function during surgical procedures that pose risks of neurological damage...
Read More",m&a,www.sentientmedical.com/,N/A,for profit,"health care, hospital"
SeriousPuzzles.com,FOUND,active,N/A,m&a,www.seriouspuzzles.com,N/A,for profit,"e-commerce, internet, retail"
Serono International,NOT FOUND,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Setem Technologies,FOUND,active,"Setem has developed Signal Separation technology that addresses the “Cocktail Party Problem”. Similar to the human brain, the technology provides the ability to focus on a specific speech source and mitigate or eliminate any extraneous background noise or interference. Background noise impacting voice clarity and speech perception is a major...
Read More",m&a,setemtech.com,venture - series unknown,for profit,"developer platform, enterprise software, saas"
SetPoint Medical,FOUND,active,"SetPoint Medical is dedicated to treating patients with debilitating inflammatory diseases, such as Crohn's Disease and rheumatoid arthritis, using proprietary implantable bioelectronic devices.
The scientific platform is based on the Inflammatory Reflex—the natural mechanism by which the central nervous system regulates the immune system....
Read More",late stage venture,www.setpointmedical.com,series d,for profit,"biotechnology, health care, medical device, neuroscience"
Shaadi.com,FOUND,active,"Shaadi.com is an online matchmaking site built especially for South-Asians. Besides one of most visited sites in India, it boasts more than 100 physical centers in 80 cities in India.
Shaadi.com, one of India's best known brands and the world's largest matrimonial service was founded with a simple objective - to help people find...
Read More",N/A,www.shaadi.com,venture - series unknown,for profit,"online portals, psychology, search engine, wedding"
Shanti Home,FOUND,active,N/A,N/A,www.shantihomeindia.com,N/A,N/A,"health care, psychology, rehabilitation"
SheEO,FOUND,active,"SheEO invests in women-led and majority women-owned ventures that creates social impact through new models, new mindsets, and new solutions for a better world. The activator community consists of ages from twelve to nineteen, and are women of color, LGBTQ, grandmothers, successful corporate executives, public leaders, change-makers, early stage...
Read More",N/A,www.iamasheeo.com/,N/A,for profit,"finance, psychology, women's"
Sheepdog Sciences,FOUND,closed,"Sheepdog Sciences offers learning services for individuals diagnosed with attention deficit hyperactivity.
Sheepdog Sciences was founded in 2011 by Daniel Wetmore and Alexander Butterwick and is based in California.",N/A,sheepdogsciences.com/,N/A,for profit,neuroscience
SHINE Medical Technologies,FOUND,active,"SHINE Medical Technologies, Inc. manufactures and supplies medical tracers and cancer treatment elements. The company offers Molybdenum-99, a light-emitting element that is administered to patients for the purpose of diagnosing and staging cancer and heart diseases. It also provides Iodine-131 that is used to treat thyroid cancer and various...
Read More",early stage venture,www.shinemed.com,series b,for profit,"manufacturing, medical, medical device, pharmaceutical"
Shockwave Medical,FOUND,active,"Shockwave Medical is developing the Lithoplasty™ family of balloon dilatation catheters that incorporate tiny lithotripsy electrodes designed to increase the compliance of rigid vascular and valvular lesions prior to low-pressure dilation, thereby limiting injury to healthy tissue and overcoming significant limitations of current revascularization...
Read More",ipo,shockwavemedical.com,series d,for profit,"health care, medical, medical device"
SIBIA Neurosciences,FOUND,active,N/A,N/A,N/A,N/A,N/A,"biotechnology, neuroscience"
