Company,Content,Operating Status,Description,Funding Status,Website,Last Funding Type,Company Type,Categories
Virobay,FOUND,active,"Virobay, Inc. operates as an anti-viral drug discovery and development company. It engages in developing, investigating, and creating treatments for hepatitis C, such as protease and polymerase inhibitors. The company was founded in 2006 and is headquartered in Menlo Park, California.",ipo,www.virobayinc.com,series b,for profit,"biotechnology, neuroscience, pharmaceutical"
Virtuleap,FOUND,active,"We enable the body to speak in XR using neuroscience research and machine learning. Our biometric algorithms translate subliminal body language into psychographics, so that you can know whether your users are excited, angry, or bored of their minds in the context of any immersive content. We are currently developing an edutainment app called the...
Read More",seed,www.virtuleap.com,seed,for profit,"3d technology, apps, big data, biometrics, internet, machine learning, neuroscience, predictive analytics, saas, virtual reality"
Visible Insignia,FOUND,active,"Visible Insignia is an SEO company in Houston. Their SEO consultant in Houston was placed as the top 25 consultants in Houston. They offer internet marketing for psychologists, psychiatrists, and other mental health counselors in private practice. They also offer free website for counselors. They use SEO, PPC, Social media management, brand...
Read More",N/A,www.visibleinsignia.com,N/A,for profit,"advertising, consulting, marketing"
Visikol,FOUND,active,"Visikol is a CRO focused on advanced drug discovery that is leading the field of bio-imaging, bioinformatics and image analysis. We conduct end-to-end drug discovery services that include both 2D and 3D in vitro models and assays, 3D whole mount tissue imaging, digital pathology and custom drug discovery projects. Visikol offers a portfolio of drug...
Read More",early stage venture,visikol.com/,grant,for profit,"biotechnology, developer tools, information technology, neuroscience"
Vita Beans Neural Solutions,FOUND,active,"Vita Beans is a startup by graduates of BITS Pilani. A long time back, They started out as an intellectual endeavor to build an Artificial Intelligence agent (AI agent) that can make decisions just like the human brain does. i.e. not just by considering economic & tangible criteria involved in decision making, but also evolutionary, emotional...
Read More",N/A,vitabeans.com/,N/A,for profit,neuroscience
Vita Sound,FOUND,active,"itaSound Audio Inc is an audio-enhancement technology company which develops and brings to market advanced audio solutions that enhance the quality of life for the boomer generation. Utilizing leading-edge brain science, our patented Neuro-Compensator is a ‘best-in-class’ technology, which significantly improves the listening experience by...
Read More",N/A,www.vitasound.com,venture - series unknown,N/A,"audio, consumer electronics"
Vitalus Sleep,FOUND,active,"We provide expert, comfortable care that helps Houston sleep soundly. Our private rooms and amenities make you feel like you're at a luxury hotel. You can get a superior night's sleep...let Superior Sleep Center help you do it.",N/A,www.vitalussleep.com,N/A,for profit,"health care, lifestyle"
Vittude,FOUND,active,"Every dollar invested in scaling up treatment for those with depression and anxiety leads to a 4x return in better health and productivity. With Vittude, Brazilians can talk to their psychologists anytime, anywhere. Our psychologists can access marketing, technology and additional income.",N/A,www.vittude.com,convertible note,for profit,"health care, psychology, therapeutics"
VMake,FOUND,active,VMake Inc is a mobile apps developing company that develops apps for Android and iOS platforms. They have developed apps like FitnessFast - Daily fitness exercise workout weight & sleep tracker and Remindsy - Social Reminders.,N/A,www.vmakevisas.com,N/A,N/A,health care
Voicery,FOUND,active,"Voicery synthesizes the most realistic human voices using deep neural networks. Prior to starting Voicery, Andrew, one of the founders, led the speech synthesis research team at Baidu Research. By synthesizing speech nearly indistinguishable from human, Voicery aims to enable new media applications, such as auto-generated audiobooks, podcasts,...
Read More",early stage venture,www.voicery.com/,series a,N/A,"neuroscience, speech recognition"
Vycor Medical,FOUND,active,"Vycor Medical, Inc. is a medical device company committed to making neurological brain, spinal and other surgical procedures safer and more effective. Vycor's innovative medical instruments are designed to optimize neurosurgical site access, reduce patient risk, accelerate recovery, and add tangible value to the professional medical community.",ipo,vycormedical.com,post-ipo equity,N/A,"hardware, health care, medical device, software"
We Sell Sleep,FOUND,active,"We Sell Sleep want to give you a one-stop shop for both sleep advice and a place to find sleep related products that have been tried and tested. With a singular mission of helping you sleep better They hope to improve your sleep, and in turn improve your life.
They hope that you find something in Their extensive product range that will make a...
Read More",N/A,wesellsleep.com/,N/A,for profit,"e-commerce, health care"
Wealth Words,FOUND,active,"Make Real Money by Playing Online Games! Wealth Words, is an online gaming platform to play crossword puzzle games online. Train your brain to unleash your words search puzzle skills and earn real money by solving puzzle games. Play and win cash with Wealth Words.",N/A,www.wealthwords.com/,N/A,for profit,gaming
WeAreBrain,FOUND,active,"Founded in 2014, WeAreBrain is a full-service strategic technology agency in the business of ideas, entrepreneurship and invention. We are entrepreneurs at heart and enable clients to create and execute strategies and solutions for their digital transformation. We imagine, create and develop intelligent design, thoughtful products and solutions. We...
Read More",N/A,www.wearebrain.com/,N/A,for profit,"artificial intelligence, consulting, information technology, mobile, product design, software"
WeSee,FOUND,active,"Our mission at WeSee is to enable a safer society, by looking out for the good guys and helping catch the bad. WeSee pushes AI beyond facial recognition, detecting suspicious behaviour which we believe holds the key to our safety and security, at home and at work.
Pushing artificial intelligence beyond facial recognition, WeSee can analyse an...
Read More",N/A,www.wesee.com,N/A,for profit,"artificial intelligence, computer vision, content discovery, image recognition, insurance, insurtech, neuroscience, video"
West Bend Assisted Living Pharmacy,FOUND,active,"West Bend Assisted Living Pharmacy provide medication dispensing and pharmacy consulting services to a variety of facilities, including:
- Community Based Residential Facilites (CBRF)
- Residential Care Apartment Complexes (RCAC)
- Adult Family Homes (AFH)
- Hospice Care
- Adult Foster Care
- Select Outpatient Populations
- Correctional...
Read More",m&a,www.westbendnhrx.com/,N/A,for profit,"health care, pharmaceutical"
Widget Brain,FOUND,active,"Widget Brain is passionate about creating smart solutions that have a real impact on daily life: algorithms that lower CO2, improve recycling rates, deliver faster, prevent critical failures and decide autonomously.
We are ambitious in achieving our vision of the future. In that future, we see a connected universe of things, capable of...
Read More",N/A,www.widgetbrain.com,N/A,for profit,"artificial intelligence, information technology, internet, robotics"
WildBrain,FOUND,active,"WildBrain Family International (""WildBrain"") is an industry leader in online video management and the creation of preschool and children’s entertainment content on YouTube. We make and share videos on YouTube, running a network of channels, managing the rights and audience growth from our catalogue of over 11,500 half hours of video...
Read More",m&a,www.wildbrain.com,venture - series unknown,for profit,"advertising, gaming, internet"
Windward Way Recovery,FOUND,active,"Windward Way Recovery is a mental health care institution that offers five phases of clinical drug treatment; detox, inpatient, PHP (partial hospitalization), IOP (intensive outpatient), and aftercare. Its facilities locally support communities in Costa Mesa, Newport Beach, Irvine, Huntington Beach, Long Beach, & Laguna Beach, which are...
Read More",N/A,windwardway.com/,N/A,N/A,"health care, medical, personal health"
